reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
ae07cb08-fa20-43c7-9257-1bb7ee380a75,Ibra Imami,https://play-lh.googleusercontent.com/a/ACg8ocL5ByDKg9R1jisu0vp_SIUshHSpIP0O5eajXOlqbS9LAHcBSg=mo,gamenya bagus,5,0,3.8.0,2025-07-02 13:12:05,,,3.8.0
6c2be583-bae8-4f1d-a900-7c6ec72a3b69,Tirta Sadewa,https://play-lh.googleusercontent.com/a-/ALV-UjX-qnpSB3JMR0fbIHwu0ZKVqfBwXg2njv2-FIVvunlnvCWeP12q,gamenya bagus,5,0,,2025-07-02 13:09:59,,,
81ef1ce3-b4ca-4cdc-a69a-81828d0d5b32,GALIH Hermawan,https://play-lh.googleusercontent.com/a/ACg8ocK9CcEjpJa_gJ4JRxggaTQxs0bFV3r6VSehdsZmafNwkgFHnw=mo,selalu dapat random tim tolol,1,0,3.8.0,2025-07-02 13:07:55,"Pemain yang terhormat,
kami mementingkan umpan balik Anda. Sistem akan mengikuti berdasarkan bahasa yang dipilih, mode game, dan tier Anda saat ini. Anda dapat mengundang teman untuk bermain dengan Anda untuk meningkatkan tingkat kemenangan. Jika ada pertanyaan lain, silakan hubungi kami melalui [Pusat Pelanggan] di Pengaturan game.",2025-07-02 15:46:10,3.8.0
e984cfcc-f85c-4474-8fcf-be5987fe520b,ilham Leo,https://play-lh.googleusercontent.com/a-/ALV-UjUvh0Hte8j9zAJnYoVQZiH18J0KJ6sJTqOyKyJnDQoj9eFXJ2lm,GAA REKOMENDASI BUAT HP KENTANG,1,0,,2025-07-02 12:20:13,"Hai pemain, tahap kesesuaian permainan berbeza-beza mengikut model yang berbeza, dan tahap kesesuaian sebenar tertakluk kepada kandungan yang ditunjukkan dalam permainan. Selain itu, untuk membawakan pemain menikmati pengalaman skrin operasi yang lebih lancar, kami akan terus mengoptimumkan fungsi dan menyesuaikan diri dengan lebih banyak telefon.",2025-07-02 15:44:36,
f3eaafeb-4d94-41db-be30-d9bf9a0244a5,arif umar,https://play-lh.googleusercontent.com/a/ACg8ocLdlmnMaguPM4pTsxwR_WRQ5c-ERdOoSPZB9gc-ZvhDW8gK=mo,"game ini tambah gk jelas gk nampak setep ,susah nyari senjata sedangkan musuhnya cepet dapat senjata",2,0,3.8.0,2025-07-02 12:08:32,"Hai pemain, mohon maaf situasi ini berlaku kepada anda. Kami senang menjawab sebarang isu untuk anda, tetapi kami perlukan lebih banyak informasi untuk mengesan masalah anda. Sila hubungi kami melalui perkhidmatan pelanggan dalam permainan dan berikan butiran yang tepat (seperti tangkapan skrin dan penerangan adegan terperinci).",2025-07-02 15:45:17,3.8.0
df0fbcf6-c87d-4a38-8135-69f8b1b9d199,M Razki fitra marma,https://play-lh.googleusercontent.com/a-/ALV-UjUFjjbr4hJxR8DgVJlzDywbgoq751CuBKw4qJh_I-9nEu042KmG,gacor,5,0,3.8.0,2025-07-02 11:48:25,,,3.8.0
6933b6d6-5777-4294-a032-e1cde0cdee0c,ISKAN Noor,https://play-lh.googleusercontent.com/a/ACg8ocIDuMITEBXr0_lLaMIAH32_Qzgw-tr62WctxfB2_hHNG1AOFg=mo,tolong game nya rendahin dikit hp ku ngerem main ny,5,0,,2025-07-02 11:41:04,,,
4c54d3ff-5612-4aca-8704-27e18079551e,Mahesa Ganteng,https://play-lh.googleusercontent.com/a/ACg8ocLYEcm5Wr9xaQ4WWr1zImZAuQ-0CkFn-jNIdCQa0ACzbXSSBw=mo,itu kalo yang ngeleg bug hp nya mito atau kentang,5,0,,2025-07-02 11:06:15,,,
f7e3cc50-4242-45ff-b578-7b98a5c1da79,Satya Nata,https://play-lh.googleusercontent.com/a/ACg8ocIZzrKdaTZg9aWMp-9vvfTB_gtDo1UAhQQz4m9QHNfGlB6cMQ=mo,tolong hp saya ngblank saat main pubg pey impanan saya padahal 16 gb dan ram saya sisa sedikit 1gb kurang tolong pegunaan ram di pubg turunin jadi 1gb 1gb kurang saya memaksakan bermain pubg tapi hp saya panas dan ngblank tolong ram pubg dirurunkan saya tidak ada pilihan jika saya jika mendowload ff saya malas medowload datanya tolong ya diturunkan penggunaan ram di pubg saya saya mau pensi dari pubg,2,0,,2025-07-02 10:57:26,"Hai pemain. Ia menduduki sejumlah memori pada telefon dengan muat turun permainan ini. Apabila memuat turun permainan, mastikan peranti berada dalam internet yang baik, dan kosongkan ruang memori peranti. Jangan risaulah bahawa kami akan terus mengoptimumkan untuk memberikan anda pengalaman muat turun yang lebih selesa.",2025-07-02 15:43:27,
7c850685-6539-409b-b0bd-b0f1f88ecb0b,AliandoPutraUtomo11,https://play-lh.googleusercontent.com/a/ACg8ocLtm2HymfCawKlvZAyB9m8onHvMpe8jEM0DdkkDWY2eUb5Acw=mo,bug meresahkan,1,0,3.8.0,2025-07-02 10:47:12,"Hai pemain, kami mementingkan pengalaman permainan anda. Namun kami tidak dapat mengesan soalan anda mengikut penerangan anda. Untuk membantu anda menyelesaikan soalan secepat mungkin, sila hubungi kami melalui dalam permainan dan berikan masa kejadian bug dan penerangan terperinci, kami akan berkhidmat anda dengan sepenuh hati.",2025-07-02 15:43:53,3.8.0
