reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,cleaned,sentiment,aspect
a4b3b52b-e5b4-4318-b666-8e8fe0401268,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"ping jumping saat ketemu musuh, dan normal kembali saat sudah mati atau tidak ada musuh. gimana ini tanggapan nya Tencent. bikin emosi aja.",1,0,3.8.0,2025-07-02 13:35:25,"Halo pemain,
Terima kasih atas cinta Anda. Pastikan bahwa internet baik dan perangkat memiliki ruang yang cukup. Anda juga dapat mencoba mengetuk [Perbaiki] pada halaman login game. Jika masih tidak berhasil, silakan hubungi kami melalui [Pusat Pelanggan] dalam game. Kami akan melakukan semua yang kami bisa untuk membantu Anda.",2025-07-02 15:47:05,3.8.0,ping jumping saat ketemu musuh dan normal kembali saat sudah mati atau tidak ada musuh gimana ini tanggapan nya tencent bikin emosi aja,Negative,['server']
40ed9106-a696-4f17-97eb-148536de00c7,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,wohooooo,5,0,,2025-07-02 13:31:13,,,,wohooooo,Positive,['Lainnya']
24b3cb82-3d8b-49b3-8913-38f35c082491,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"susah sekali menangnya, kita cuma jadi samsak buat proplayer sama sultan aja, gak fair,",1,0,,2025-07-02 13:17:18,"Pemain yang terhormat,
kami mementingkan umpan balik Anda. Sistem akan mengikuti berdasarkan bahasa yang dipilih, mode game, dan tier Anda saat ini. Anda dapat mengundang teman untuk bermain dengan Anda untuk meningkatkan tingkat kemenangan. Jika ada pertanyaan lain, silakan hubungi kami melalui [Pusat Pelanggan] di Pengaturan game.",2025-07-02 15:46:33,,susah sekali menangnya kita cuma jadi samsak buat proplayer sama sultan aja gak fair,Negative,['Lainnya']
ae07cb08-fa20-43c7-9257-1bb7ee380a75,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,gamenya bagus,5,0,3.8.0,2025-07-02 13:12:05,,,3.8.0,gamenya bagus,Positive,['Lainnya']
6c2be583-bae8-4f1d-a900-7c6ec72a3b69,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,gamenya bagus,5,0,,2025-07-02 13:09:59,,,,gamenya bagus,Positive,['Lainnya']
81ef1ce3-b4ca-4cdc-a69a-81828d0d5b32,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,selalu dapat random tim tolol,1,0,3.8.0,2025-07-02 13:07:55,"Pemain yang terhormat,
kami mementingkan umpan balik Anda. Sistem akan mengikuti berdasarkan bahasa yang dipilih, mode game, dan tier Anda saat ini. Anda dapat mengundang teman untuk bermain dengan Anda untuk meningkatkan tingkat kemenangan. Jika ada pertanyaan lain, silakan hubungi kami melalui [Pusat Pelanggan] di Pengaturan game.",2025-07-02 15:46:10,3.8.0,selalu dapat random tim tolol,Negative,['Lainnya']
e984cfcc-f85c-4474-8fcf-be5987fe520b,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,GAA REKOMENDASI BUAT HP KENTANG,1,0,,2025-07-02 12:20:13,"Hai pemain, tahap kesesuaian permainan berbeza-beza mengikut model yang berbeza, dan tahap kesesuaian sebenar tertakluk kepada kandungan yang ditunjukkan dalam permainan. Selain itu, untuk membawakan pemain menikmati pengalaman skrin operasi yang lebih lancar, kami akan terus mengoptimumkan fungsi dan menyesuaikan diri dengan lebih banyak telefon.",2025-07-02 15:44:36,,gaa rekomendasi buat hp kentang,Negative,['Lainnya']
f3eaafeb-4d94-41db-be30-d9bf9a0244a5,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"game ini tambah gk jelas gk nampak setep ,susah nyari senjata sedangkan musuhnya cepet dapat senjata",2,0,3.8.0,2025-07-02 12:08:32,"Hai pemain, mohon maaf situasi ini berlaku kepada anda. Kami senang menjawab sebarang isu untuk anda, tetapi kami perlukan lebih banyak informasi untuk mengesan masalah anda. Sila hubungi kami melalui perkhidmatan pelanggan dalam permainan dan berikan butiran yang tepat (seperti tangkapan skrin dan penerangan adegan terperinci).",2025-07-02 15:45:17,3.8.0,game ini tambah gk jelas gk nampak setep susah nyari senjata sedangkan musuhnya cepet dapat senjata,Negative,['Lainnya']
df0fbcf6-c87d-4a38-8135-69f8b1b9d199,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,gacor,5,0,3.8.0,2025-07-02 11:48:25,,,3.8.0,gacor,Positive,['Lainnya']
6933b6d6-5777-4294-a032-e1cde0cdee0c,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,tolong game nya rendahin dikit hp ku ngerem main ny,5,0,,2025-07-02 11:41:04,,,,tolong game nya rendahin dikit hp ku ngerem main ny,Positive,['Lainnya']
4c54d3ff-5612-4aca-8704-27e18079551e,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,itu kalo yang ngeleg bug hp nya mito atau kentang,5,0,,2025-07-02 11:06:15,,,,itu kalo yang ngeleg bug hp nya mito atau kentang,Positive,['bug']
f7e3cc50-4242-45ff-b578-7b98a5c1da79,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,tolong hp saya ngblank saat main pubg pey impanan saya padahal 16 gb dan ram saya sisa sedikit 1gb kurang tolong pegunaan ram di pubg turunin jadi 1gb 1gb kurang saya memaksakan bermain pubg tapi hp saya panas dan ngblank tolong ram pubg dirurunkan saya tidak ada pilihan jika saya jika mendowload ff saya malas medowload datanya tolong ya diturunkan penggunaan ram di pubg saya saya mau pensi dari pubg,2,0,,2025-07-02 10:57:26,"Hai pemain. Ia menduduki sejumlah memori pada telefon dengan muat turun permainan ini. Apabila memuat turun permainan, mastikan peranti berada dalam internet yang baik, dan kosongkan ruang memori peranti. Jangan risaulah bahawa kami akan terus mengoptimumkan untuk memberikan anda pengalaman muat turun yang lebih selesa.",2025-07-02 15:43:27,,tolong hp saya ngblank saat main pubg pey impanan saya padahal gb dan ram saya sisa sedikit gb kurang tolong pegunaan ram di pubg turunin jadi gb gb kurang saya memaksakan bermain pubg tapi hp saya panas dan ngblank tolong ram pubg dirurunkan saya tidak ada pilihan jika saya jika mendowload ff saya malas medowload datanya tolong ya diturunkan penggunaan ram di pubg saya saya mau pensi dari pubg,Negative,['Lainnya']
